keyword,lat,lng
51.5098° E,25.3052529,51.4731336
51.429257,25.1688997,51.4325532
51.429257,25.1690238,51.4322705
AL Gamiya Center,25.160526,51.602016
DAL Gamiya Center,25.160526,51.602016
DOAL Gamiya Center,25.160526,51.602016
DOH AL Gamiya Center,25.160526,51.602016
DOHAL Gamiya Center,25.160526,51.602016
DOHa AL Gamiya Center,25.160526,51.602016
DOHaAL Gamiya Center,25.160526,51.602016
ab,25.272564,51.5118702
abdulla,25.272564,51.5118702
abdulla ,25.2725655,51.5118734
abdulla bin j,25.2725656,51.5118737
abdulla bin jaa,25.2725656,51.5118737
abdulla bin jaafa,25.2725656,51.5118737
e,25.245245,51.51465
embassy of bangaladesh ,25.1539479,51.4004973
ew,25.245245,51.51465
hospital ,25.391688,51.519985
hotel,25.46224,51.395957
mos,25.419422,51.520867
p,25.419422,51.520867
p,25.1915658,51.5140914
pe,25.419458,51.520826
pe,25.1920417,51.5146897
pe,25.192927,51.5158598
pea,25.419458,51.520826
pear,25.419458,51.520826
pearl,25.419458,51.520826
pearl ,25.419458,51.520826
pearl m,25.419458,51.520826
pearl mo,25.419489,51.52078
pearl mos,25.419489,51.52078
per,25.1925117,51.5152685
per,25.192927,51.5158598
pert,25.1925117,51.5152685
pet,25.1933952,51.5164404
petr,25.1933952,51.5164404
saeed retail mart,25.2110197,51.5762654
wasi l ,25.2646149,51.5183588
wasi l qata,25.2646168,51.5183521
01 c,25.249823,51.556684
01 ca,25.249823,51.556684
01 caf,25.249823,51.556684
01 cafe,25.249823,51.556684
01 m,25.2273865,51.4743355
01 ma,25.2587662,51.5561583
01 ma,25.2273865,51.4743355
01 ma,25.279538,51.54629
01 mal,25.279538,51.54629
01 mal,25.324627,51.437838
01 mall,25.2587662,51.5561583
01 mall,25.2273865,51.4743355
01 mall,25.324627,51.437838
03 mal,25.279501,51.546302
1 mall,25.2587714,51.5561577
12123 Kleindale ,29.9552,-95.495328
12123 Kleindale c,29.9552,-95.495328
12123 Kleindale ct,29.9552,-95.495328
12123 k,29.9552,-95.495328
12123 kl,29.9552,-95.495328
12123 klei,29.9552,-95.495328
12123 kleine,29.9552,-95.495328
12123 kleineal,29.9552,-95.495328
12123 kleineale,29.9552,-95.495328
132 b,25.268118,51.522669
132 bus,25.268118,51.522669
25.077413,25.1807606,51.6052877
25.07741325.077413,25.1807156,51.6052791
25.1,25.1983207,51.4582881
25.198,25.2139736,51.4861446
25.198,25.1983207,51.4582881
25.1983,25.2140856,51.4859358
25.19830,25.2140856,51.4859358
25.198306,25.2140949,51.4858989
25.1985,25.1983207,51.4582881
25.198588,25.1983207,51.4582881
25.2,25.2935716,51.4126746
25.2,25.2441904,51.5020752
25.2,25.241299,51.5088683
25.2,25.2413186,51.5090848
25.2,25.2010462,51.4536375
25.2,25.2217075,51.4475046
25.2,25.2174654,51.4464642
25.22,25.1995604,51.4542474
25.22,25.2216732,51.4474861
25.22,25.2217506,51.4475428
25.22,25.2194803,51.4469967
25.22,25.2193535,51.4471135
25.220,25.1995538,51.4542283
25.2202,25.1995538,51.4542283
25.22029,25.1995538,51.4542283
25.221,25.2010462,51.4536375
25.221,25.2188872,51.4510974
25.22131,25.2010177,51.4536852
25.22131,25.2189178,51.451139
25.221317,25.2010177,51.4536852
25.221317,25.2189178,51.451139
25.223569,25.1672717,51.4293008
25.223569 ,25.167073,51.4286005
25.226,25.2193535,51.4471135
25.22622,25.2193707,51.4471708
25.226229,25.2193707,51.4471708
25.227,25.2216732,51.4474861
25.2271,25.2217029,51.4474669
25.22710,25.2217029,51.4474669
25.227108,25.2217029,51.4474669
25.228,25.2217506,51.4475428
25.2285,25.2217756,51.4475417
25.22852,25.2217771,51.4475242
25.228529,25.2217771,51.4475242
25.229,25.2194136,51.4470733
25.2292,25.2194136,51.4470733
25.229245,25.2194068,51.447086
25.23,25.2217169,51.4475809
25.23,25.221714,51.4474538
25.23,25.2217075,51.4475046
25.23,25.1514989,51.4673799
25.23,25.2193708,51.4471545
25.23,25.2193635,51.4471716
25.23,25.2193845,51.4471869
25.232,25.2193845,51.4471869
25.232,25.2175456,51.4464916
25.2327,25.2175456,51.4464916
25.23272,25.217533,51.4464999
25.232725,25.217533,51.4464999
25.2328,25.2193848,51.4471755
25.23288,25.2193848,51.4471755
25.232885,25.2193817,51.4471669
25.234,25.29633,51.4476853
25.2346,25.29633,51.4476853
25.23462,25.29636,51.4477024
25.234625,25.29636,51.4477024
25.235,25.2193708,51.4471545
25.23545,25.2193771,51.4471771
25.235457,25.2193771,51.4471771
25.236,25.221714,51.4474538
25.236,25.1514989,51.4673799
25.2367,25.221714,51.4474538
25.23676,25.2217129,51.4474489
25.236768,25.2217129,51.4474489
25.2368,25.1514989,51.4673799
25.23680,25.1514989,51.4673799
25.236802,25.1515027,51.4673656
25.237,25.2217134,51.4474921
25.23799,25.2217184,51.4474868
25.237995,25.2217184,51.4474868
25.238,25.2217121,51.4475522
25.238,25.2193747,51.4471847
25.2388,25.2217004,51.447521
25.23887,25.2217004,51.447521
25.238871,25.2217004,51.447521
25.24,25.2935716,51.4126746
25.24,25.2420387,51.5080656
25.24,25.2216676,51.4475773
25.24,25.2174654,51.4464642
25.24,25.2451053,51.5577099
25.241,25.244123,51.5020751
25.241,25.2413488,51.5088878
25.2412,25.244123,51.5020751
25.2412,25.2413578,51.5088869
25.24127,25.244123,51.5020751
25.24127,25.2413578,51.5088869
25.241273,25.244123,51.5020751
25.241273,25.2413578,51.5088869
25.242,25.2413186,51.5090848
25.242,25.2420387,51.5080656
25.242,25.2440383,51.5019917
25.2423,25.2413202,51.5090664
25.2423,25.2420018,51.5080269
25.2423,25.2440211,51.5019838
25.2423,25.24402,51.5019833
25.24232,25.2413202,51.5090664
25.24232,25.2440211,51.5019838
25.24232,25.24402,51.5019833
25.242327,25.2413202,51.5090664
25.242327,25.2440211,51.5019838
25.242355,25.2420018,51.5080269
25.242355,25.24402,51.5019833
25.24609,25.2935716,51.4126746
25.247,25.2216676,51.4475773
25.247,25.245108,51.5577088
25.2479,25.2451084,51.5577077
25.247938,25.2451084,51.5577077
25.247938 ,25.2451084,51.5577077
25.247938 51,25.2451084,51.5577092
25.247938 51.,25.2451084,51.5577092
25.247938 51.35,25.245109,51.5577111
25.247938 51.354,25.2451053,51.5577118
25.247938 51.354775,25.2451053,51.5577118
25.248,25.2174654,51.4464642
25.2481,25.2174715,51.4464649
25.24819,25.217481,51.4464711
25.248195,25.217481,51.4464711
25.25,25.2935716,51.4126746
25.30,25.2927257,51.4272049
25.307,25.2927257,51.4272049
25.30790,25.292713,51.427199
